key,text
DLG_GUARD_INTRO,"The guard blocks the gate."
DLG_GUARD_BRIBED,"The guard pockets it and steps aside."
DLG_OPT_BRIBE,"Offer 50 gold"
DLG_OPT_LEAVE,"Leave"
DLG_KAEL_001,"I am Kael-7. Seventh iteration. Purified Paladin."
DLG_KAEL_002,"The Signal signature... Walker frequency. Impossible."
DLG_MARA_001,"I am Mara of the Verdant Choir."
DLG_MARA_002,"The Signal... it sings in you."
DLG_CHOOSE_COMPANION,"Who do you trust?"
DLG_CHOOSE_KAEL,"Kael. I need technology to survive."
DLG_CHOOSE_MARA,"Mara. I need to understand what I've become."
DLG_CHOOSE_BOTH,"Both of you. We're going the same direction."
DLG_CHOOSE_NONE,"Why should I trust either of you?"
TUT_MOVE,"WASD / Arrow Keys: Move"
TUT_ABILITY,"1-4: Abilities"
TUT_END_TURN,"Space: End Turn"
TUT_OVERWATCH,"Tab: Overwatch"
TUT_TARGET,"Click: Target"
TUT_COMBAT_VICTORY,"Combat Victory! XP gained: %d"
TUT_COMBAT_DEFEAT,"You have fallen. The Signal fades..."
ITEM_PULSE_PISTOL,"Pulse Pistol"
ITEM_STIMULANT,"Stimulant"
ITEM_CHROME_RIFLE,"Purified Chrome Rifle"
ITEM_VINE_LASH,"Vine Lash"
ABILITY_BASIC_ATTACK,"Basic Attack"
ABILITY_RESONANCE_PULSE,"Resonance Pulse"
ABILITY_ENTANGLE,"Entangling Vines"
ABILITY_OVERWATCH,"Overwatch"
STAT_MIGHT,"Might"
STAT_AGILITY,"Agility"
STAT_CONSTITUTION,"Constitution"
STAT_INTELLIGENCE,"Intelligence"
STAT_WILLPOWER,"Willpower"
STAT_RESONANCE,"Resonance"
UI_HP,"HP: %d/%d"
UI_AP,"AP: %d/%d"
UI_LEVEL,"Level %d"
UI_XP,"XP: %d/%d"
UI_SCRAP,"Scrap: %d"
UI_FUEL,"Fuel: %d/%d"
UI_SAVE,"Save Game"
UI_LOAD,"Load Game"
UI_SETTINGS,"Settings"
UI_QUIT,"Quit"
UI_NEW_GAME,"New Game"
UI_RESUME,"Resume"
UI_SAVE_SLOT,"Save Slot %d"
UI_EMPTY_SLOT,"Empty Slot"
UI_DELETE,"Delete"
UI_BACK,"Back"
UI_CONFIRM,"Confirm"
UI_CANCEL,"Cancel"
ZONE_GRAVEYARD,"Sector 9: The Graveyard"
ZONE_CITADEL,"Purified Citadel"
ZONE_GROVE,"The Verdant Grove"
ZONE_FREEPORT,"Scavenger Freeport"
ZONE_SECTOR_8,"Sector 8: The Wastes"
NOTIF_QUEST_STARTED,"Quest Started: %s"
NOTIF_QUEST_UPDATED,"Quest Updated: %s"
NOTIF_QUEST_COMPLETED,"Quest Completed: %s"
NOTIF_ITEM_OBTAINED,"Obtained: %s x%d"
NOTIF_XP_GAINED,"XP Gained: +%d"
NOTIF_LEVEL_UP,"Level Up! Now Level %d"
NOTIF_SAVED,"Game Saved"
NOTIF_LOADED,"Game Loaded"
ERROR_LOAD_FAILED,"Failed to load save file"
ERROR_SAVE_FAILED,"Failed to save game"
ERROR_NO_SAVE,"No save data found"
