key,text
DLG_GUARD_INTRO,守卫挡住了大门。
DLG_GUARD_BRIBED,守卫收下钱，让开了路。
DLG_OPT_BRIBE,提供50金币
DLG_OPT_LEAVE,离开
DLG_KAEL_001,我是凯尔-7。第七代。净化圣骑士。
DLG_KAEL_002,信号特征...行者频率。不可能。
DLG_MARA_001,我是翠绿合唱团的玛拉。
DLG_MARA_002,信号...在你体内歌唱。
DLG_CHOOSE_COMPANION,你信任谁？
DLG_CHOOSE_KAEL,凯尔。我需要科技来生存。
DLG_CHOOSE_MARA,玛拉。我需要理解自己变成了什么。
DLG_CHOOSE_BOTH,你们两个。我们同路。
DLG_CHOOSE_NONE,我为什么要信任你们？
TUT_MOVE,WASD/方向键: 移动
TUT_ABILITY,1-4: 技能
TUT_END_TURN,空格: 结束回合
TUT_OVERWATCH,Tab: 警戒
TUT_TARGET,点击: 目标
TUT_COMBAT_VICTORY,战斗胜利！获得经验值: %d
TUT_COMBAT_DEFEAT,你倒下了。信号渐渐消失...
ITEM_PULSE_PISTOL,脉冲手枪
ITEM_STIMULANT,兴奋剂
ITEM_CHROME_RIFLE,净化铬步枪
ITEM_VINE_LASH,藤蔓鞭
ABILITY_BASIC_ATTACK,普通攻击
ABILITY_RESONANCE_PULSE,共鸣脉冲
ABILITY_ENTANGLE,缠绕藤蔓
ABILITY_OVERWATCH,警戒
STAT_MIGHT,力量
STAT_AGILITY,敏捷
STAT_CONSTITUTION,体质
STAT_INTELLIGENCE,智力
STAT_WILLPOWER,意志力
STAT_RESONANCE,共鸣
UI_HP,生命: %d/%d
UI_AP,行动: %d/%d
UI_LEVEL,等级%d
UI_XP,经验: %d/%d
UI_SCRAP,废料: %d
UI_FUEL,燃料: %d/%d
UI_SAVE,保存游戏
UI_LOAD,加载游戏
UI_SETTINGS,设置
UI_QUIT,退出
UI_NEW_GAME,新游戏
UI_RESUME,继续
UI_SAVE_SLOT,存档位%d
UI_EMPTY_SLOT,空位
UI_DELETE,删除
UI_BACK,返回
UI_CONFIRM,确认
UI_CANCEL,取消
ZONE_GRAVEYARD,第9区: 墓地
ZONE_CITADEL,净化堡垒
ZONE_GROVE,翠绿林地
ZONE_FREEPORT,拾荒者自由港
ZONE_SECTOR_8,第8区: 荒原
NOTIF_QUEST_STARTED,任务开始: %s
NOTIF_QUEST_UPDATED,任务更新: %s
NOTIF_QUEST_COMPLETED,任务完成: %s
NOTIF_ITEM_OBTAINED,获得: %s x%d
NOTIF_XP_GAINED,获得经验: +%d
NOTIF_LEVEL_UP,升级！现在等级%d
NOTIF_SAVED,游戏已保存
NOTIF_LOADED,游戏已加载
ERROR_LOAD_FAILED,加载存档失败
ERROR_SAVE_FAILED,保存游戏失败
ERROR_NO_SAVE,没有找到存档
